geo_point_2d;geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;insee_com;nom_com;date_modif;notes
48.85004579905177,2.3791906;"{""coordinates"": [2.3791906, 48.85004579905177], ""type"": ""Point""}";n2190097084;NON;22;;public;NON;NON;arceaux;75112;12e Arrondissement;2019-07;
48.825779099051616,2.347020899999999;"{""coordinates"": [2.3470209, 48.825779099051616], ""type"": ""Point""}";n5628678464;NON;6;;public;NON;NON;arceaux;75113;13e Arrondissement;2020-12;
48.84329879905174,2.3022729;"{""coordinates"": [2.3022729, 48.84329879905174], ""type"": ""Point""}";n5688861771;NON;12;;public;NON;NON;arceaux;75115;15e Arrondissement;2018-06;
48.841479499051715,2.3496047000000004;"{""coordinates"": [2.3496047, 48.841479499051715], ""type"": ""Point""}";n8426735140;NON;14;;public;NON;NON;autres;75105;5e Arrondissement;2021-08;
48.842664199051725,2.2799121;"{""coordinates"": [2.2799121, 48.842664199051725], ""type"": ""Point""}";n7591423825;NON;2;;public;NON;NON;arceaux;75115;15e Arrondissement;2020-06;
48.89297739905207,2.3802185999999996;"{""coordinates"": [2.3802186, 48.89297739905207], ""type"": ""Point""}";n5627504715;NON;16;;public;NON;NON;inconnu;75119;19e Arrondissement;2018-05;
48.82069489905158,2.3641564999999987;"{""coordinates"": [2.3641565, 48.82069489905158], ""type"": ""Point""}";n7513686594;NON;4;;public;NON;NON;arceaux;75113;13e Arrondissement;2021-08;
48.89039119905205,2.3482624000000007;"{""coordinates"": [2.3482624, 48.89039119905205], ""type"": ""Point""}";n7044021034;NON;8;;public;NON;NON;arceaux;75118;18e Arrondissement;2021-09;
48.850761199051796,2.4399760000000006;"{""coordinates"": [2.439976, 48.850761199051796], ""type"": ""Point""}";n4879411758;NON;32;;public;NON;NON;arceaux;94080;Vincennes;2017-05;
48.816616399051554,2.3533299000000003;"{""coordinates"": [2.3533299, 48.816616399051554], ""type"": ""Point""}";n7264576243;NON;4;;public;NON;NON;arceaux;94037;Gentilly;2020-03;
48.823702599051586,2.2890785999999994;"{""coordinates"": [2.2890786, 48.823702599051586], ""type"": ""Point""}";n5503873194;NON;2;;public;NON;NON;arceaux;92075;Vanves;2018-03;
48.84497869905174,2.3489992999999996;"{""coordinates"": [2.3489993, 48.84497869905174], ""type"": ""Point""}";n7484597111;NON;24;;public;NON;NON;arceaux;75105;5e Arrondissement;2021-05;
48.786956699051366,2.3948910000000008;"{""coordinates"": [2.394891, 48.786956699051366], ""type"": ""Point""}";n2567604279;NON;4;;public;NON;NON;inconnu;94081;Vitry-sur-Seine;2013-12;
48.82686329905164,2.3644771999999996;"{""coordinates"": [2.3644772, 48.82686329905164], ""type"": ""Point""}";n8175981163;NON;8;;public;NON;NON;arceaux;75113;13e Arrondissement;2020-11;
48.860960299051854,2.271317;"{""coordinates"": [2.271317, 48.860960299051854], ""type"": ""Point""}";n8458641836;NON;12;;public;NON;NON;arceaux;75116;16e Arrondissement;2021-02;
48.871692399051916,2.2986234999999997;"{""coordinates"": [2.2986235, 48.871692399051916], ""type"": ""Point""}";n8643074453;NON;5;;public;NON;NON;autres;75108;8e Arrondissement;2021-04;
48.895835499052104,2.2367709999999996;"{""coordinates"": [2.236771, 48.895835499052104], ""type"": ""Point""}";n2492152904;NON;20;;public;NON;NON;arceaux;92026;Courbevoie;2021-05;
48.84442139905173,2.3088879000000007;"{""coordinates"": [2.3088879, 48.84442139905173], ""type"": ""Point""}";n8371386720;NON;8;;public;NON;NON;arceaux;75115;15e Arrondissement;2021-07;
48.88773179905202,2.3673072;"{""coordinates"": [2.3673072, 48.88773179905202], ""type"": ""Point""}";n559672036;NON;8;;public;NON;NON;arceaux;75119;19e Arrondissement;2018-01;
48.883820299052,2.3210948;"{""coordinates"": [2.3210948, 48.883820299052], ""type"": ""Point""}";n5679765975;NON;6;;public;NON;NON;arceaux;75117;17e Arrondissement;2018-06;
48.88039879905198,2.3166051;"{""coordinates"": [2.3166051, 48.88039879905198], ""type"": ""Point""}";n5679742350;NON;10;;public;NON;NON;arceaux;75108;8e Arrondissement;2018-06;
48.755171399051136,2.2800384;"{""coordinates"": [2.2800384, 48.755171399051136], ""type"": ""Point""}";n8561278900;NON;20;;public;NON;NON;ratelier;92002;Antony;2021-06;
48.853145199051795,2.358590300000001;"{""coordinates"": [2.3585903, 48.853145199051795], ""type"": ""Point""}";n2177689693;NON;12;;public;NON;NON;arceaux;75104;4e Arrondissement;2018-05;
48.72955169905097,2.2665195999999996;"{""coordinates"": [2.2665196, 48.72955169905097], ""type"": ""Point""}";n3527658748;NON;12;;privee;NON;NON;ratelier;91377;Massy;2017-10;
48.903640857772565,2.3724520920999157;"{""coordinates"": [2.372452092099916, 48.903640857772565], ""type"": ""Point""}";w842388314;NON;20;;public;NON;NON;arceaux;93001;Aubervilliers;2020-08;
48.87083049905192,2.325078799999999;"{""coordinates"": [2.3250788, 48.87083049905192], ""type"": ""Point""}";n6892460446;NON;5;;public;NON;NON;arceaux;75108;8e Arrondissement;2019-10;
48.78299509905133,2.0418963000000003;"{""coordinates"": [2.0418963, 48.78299509905133], ""type"": ""Point""}";n1935367689;NON;20;;public;OUI;NON;inconnu;78423;Montigny-le-Bretonneux;2012-09;
48.910509799052186,2.2223978999999994;"{""coordinates"": [2.2223979, 48.910509799052186], ""type"": ""Point""}";n5425490046;NON;8;;public;NON;NON;arceaux;92050;Nanterre;2018-02;
48.839597699051716,2.292857799999999;"{""coordinates"": [2.2928578, 48.839597699051716], ""type"": ""Point""}";n8371428275;NON;12;;public;NON;NON;arceaux;75115;15e Arrondissement;2021-07;
48.81489369905153,2.1097649000000005;"{""coordinates"": [2.1097649, 48.81489369905153], ""type"": ""Point""}";n5613540921;NON;16;;public;NON;NON;ratelier;78646;Versailles;2021-11;
48.888759699052045,2.2217061;"{""coordinates"": [2.2217061, 48.888759699052045], ""type"": ""Point""}";n9355469666;NON;8;;public;NON;NON;arceaux;92050;Nanterre;2021-12;
