geo_point_2d;geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;insee_com;nom_com;date_modif;notes
48.83161489905166,2.3200678999999997;"{""coordinates"": [2.3200679, 48.83161489905166], ""type"": ""Point""}";n7489638529;NON;12;;public;NON;NON;arceaux;75114;14e Arrondissement;2021-03;
48.8078866990515,2.1243860999999993;"{""coordinates"": [2.1243861, 48.8078866990515], ""type"": ""Point""}";n8130662094;NON;12;;public;NON;NON;arceaux;78646;Versailles;2020-11;
48.85988869905185,2.3060580999999996;"{""coordinates"": [2.3060581, 48.85988869905185], ""type"": ""Point""}";n5615712504;NON;18;;public;NON;NON;inconnu;75107;7e Arrondissement;2018-05;
48.84363649905173,2.2781115000000005;"{""coordinates"": [2.2781115, 48.84363649905173], ""type"": ""Point""}";n7591423808;NON;2;;public;NON;NON;arceaux;75115;15e Arrondissement;2020-06;
49.0186122990529,2.2174814000000005;"{""coordinates"": [2.2174814, 49.0186122990529], ""type"": ""Point""}";n9206986297;NON;4;;public;NON;NON;arceaux;95607;Taverny;2021-10;
48.898458299052095,2.310423000000001;"{""coordinates"": [2.310423, 48.898458299052095], ""type"": ""Point""}";n8856148254;NON;12;;public;NON;NON;inconnu;92024;Clichy;2021-06;
48.88571909905201,2.3928899;"{""coordinates"": [2.3928899, 48.88571909905201], ""type"": ""Point""}";n9082455902;NON;14;;public;NON;NON;arceaux;75119;19e Arrondissement;2021-09;
48.88938319905205,2.194558;"{""coordinates"": [2.194558, 48.88938319905205], ""type"": ""Point""}";n4993467240;NON;2;;public;NON;NON;ancrage;92050;Nanterre;2017-07;
48.87044969905191,2.373045599999999;"{""coordinates"": [2.3730456, 48.87044969905191], ""type"": ""Point""}";n7634536863;NON;10;;public;NON;NON;arceaux;75111;11e Arrondissement;2020-06;
48.86222669905186,2.3774409999999992;"{""coordinates"": [2.377441, 48.86222669905186], ""type"": ""Point""}";n7642307738;NON;12;;public;NON;NON;arceaux;75111;11e Arrondissement;2020-06;
48.69183289905074,2.1592506000000005;"{""coordinates"": [2.1592506, 48.69183289905074], ""type"": ""Point""}";n6920788027;NON;6;;public;NON;NON;arceaux;91122;Bures-sur-Yvette;2019-10;
48.74397359905107,2.2531600999999988;"{""coordinates"": [2.2531601, 48.74397359905107], ""type"": ""Point""}";n2447637033;NON;6;;public;NON;NON;autres;91645;Verrières-le-Buisson;2021-06;
48.69355649905074,2.5026816;"{""coordinates"": [2.5026816, 48.69355649905074], ""type"": ""Point""}";n1906098497;OUI;60;;public;NON;NON;ratelier;91114;Brunoy;2019-09;
48.8394268990517,2.2402871;"{""coordinates"": [2.2402871, 48.8394268990517], ""type"": ""Point""}";n8661268656;NON;4;;public;NON;NON;arceaux;92012;Boulogne-Billancourt;2021-04;
48.88880449905204,2.2976167999999992;"{""coordinates"": [2.2976168, 48.88880449905204], ""type"": ""Point""}";n2949378484;NON;10;;public;NON;NON;arceaux;75117;17e Arrondissement;2018-05;
48.8086022990515,2.124817099999999;"{""coordinates"": [2.1248171, 48.8086022990515], ""type"": ""Point""}";n8130662093;NON;6;;public;NON;NON;arceaux;78646;Versailles;2020-11;
48.80838629905149,2.138563099999999;"{""coordinates"": [2.1385631, 48.80838629905149], ""type"": ""Point""}";n8158447037;NON;8;;public;NON;NON;arceaux;78646;Versailles;2020-11;
48.85894129905185,2.3188497999999997;"{""coordinates"": [2.3188498, 48.85894129905185], ""type"": ""Point""}";n8259817270;NON;6;;public;NON;NON;arceaux;75107;7e Arrondissement;2021-06;
48.87352799905194,2.3527164;"{""coordinates"": [2.3527164, 48.87352799905194], ""type"": ""Point""}";n4904815609;NON;12;;public;NON;NON;arceaux;75110;10e Arrondissement;2020-11;
48.85372579905181,2.359137400000001;"{""coordinates"": [2.3591374, 48.85372579905181], ""type"": ""Point""}";n5153614285;NON;10;;public;NON;NON;arceaux;75104;4e Arrondissement;2018-05;
48.885124499052,2.3788213999999988;"{""coordinates"": [2.3788214, 48.885124499052], ""type"": ""Point""}";n5627504634;NON;4;;public;NON;NON;arceaux;75119;19e Arrondissement;2021-05;
48.993061699052745,2.278159299999999;"{""coordinates"": [2.2781593, 48.993061699052745], ""type"": ""Point""}";n7892964374;NON;3;;public;NON;NON;ratelier;95203;Eaubonne;2021-12;
48.80451129905147,2.5083843999999997;"{""coordinates"": [2.5083844, 48.80451129905147], ""type"": ""Point""}";n7579977456;NON;8;;public;NON;NON;arceaux;94068;Saint-Maur-des-Fossés;2021-04;
48.815419077468626,1.9890478337219297;"{""coordinates"": [1.98904783372193, 48.815419077468626], ""type"": ""Point""}";w474846102;NON;0;;public;NON;NON;inconnu;78165;Les Clayes-sous-Bois;2017-02;
48.84890949905175,2.4063149000000004;"{""coordinates"": [2.4063149, 48.84890949905175], ""type"": ""Point""}";n2936655019;NON;8;;public;NON;NON;arceaux;75120;20e Arrondissement;2018-05;
48.88316769905201,2.3349197;"{""coordinates"": [2.3349197, 48.88316769905201], ""type"": ""Point""}";n816764631;NON;12;;public;NON;NON;arceaux;75118;18e Arrondissement;2020-11;
48.87777059905197,2.2384005;"{""coordinates"": [2.2384005, 48.87777059905197], ""type"": ""Point""}";n7795018170;NON;6;;public;NON;NON;arceaux;92062;Puteaux;2020-08;
48.898961199052096,2.2560971;"{""coordinates"": [2.2560971, 48.898961199052096], ""type"": ""Point""}";n3590383811;NON;6;;clientele;NON;NON;arceaux;92026;Courbevoie;2015-06;
48.84342229905174,2.2365426999999993;"{""coordinates"": [2.2365427, 48.84342229905174], ""type"": ""Point""}";n1280192058;NON;0;;public;NON;NON;inconnu;92012;Boulogne-Billancourt;2011-05;
48.89360339905207,2.2777485;"{""coordinates"": [2.2777485, 48.89360339905207], ""type"": ""Point""}";n3712386022;NON;32;;public;NON;NON;arceaux;92044;Levallois-Perret;2015-08;
48.84066979905171,2.2917498000000003;"{""coordinates"": [2.2917498, 48.84066979905171], ""type"": ""Point""}";n5628186424;NON;16;;public;NON;NON;inconnu;75115;15e Arrondissement;2018-06;
48.84586849905173,2.2431052000000005;"{""coordinates"": [2.2431052, 48.84586849905173], ""type"": ""Point""}";n7861596529;NON;0;;public;NON;NON;inconnu;92012;Boulogne-Billancourt;2020-08;
48.89096549905206,2.3455335;"{""coordinates"": [2.3455335, 48.89096549905206], ""type"": ""Point""}";n627612948;NON;22;;public;NON;NON;arceaux;75118;18e Arrondissement;2021-11;
48.826097957421645,1.9748874966969177;"{""coordinates"": [1.974887496696918, 48.826097957421645], ""type"": ""Point""}";w155154681;NON;0;;public;NON;NON;inconnu;78165;Les Clayes-sous-Bois;2017-02;
48.89337729905206,2.2319962;"{""coordinates"": [2.2319962, 48.89337729905206], ""type"": ""Point""}";n5309090109;NON;18;;public;NON;NON;arceaux;92050;Nanterre;2021-05;
48.8094677990515,2.127591299999999;"{""coordinates"": [2.1275913, 48.8094677990515], ""type"": ""Point""}";n8170863586;NON;8;;public;NON;NON;arceaux;78646;Versailles;2020-11;
48.954254899052486,2.3091379;"{""coordinates"": [2.3091379, 48.954254899052486], ""type"": ""Point""}";n8863383365;NON;6;;public;NON;NON;arceaux;93031;Épinay-sur-Seine;2021-06;
48.81008507624093,2.319003669637201;"{""coordinates"": [2.319003669637201, 48.81008507624093], ""type"": ""Point""}";w778604472;NON;6;;public;NON;NON;arceaux;92049;Montrouge;2020-03;
48.69579279905076,2.2966871;"{""coordinates"": [2.2966871, 48.69579279905076], ""type"": ""Point""}";n4783004740;NON;5;;public;NON;NON;ratelier;91345;Longjumeau;2017-04;
48.84279519905173,2.3876895999999994;"{""coordinates"": [2.3876896, 48.84279519905173], ""type"": ""Point""}";n7645332887;NON;2;;public;NON;NON;arceaux;75112;12e Arrondissement;2021-03;
48.78104119905132,2.196745299999999;"{""coordinates"": [2.1967453, 48.78104119905132], ""type"": ""Point""}";n8942673709;NON;10;;public;NON;NON;arceaux;78640;Vélizy-Villacoublay;2021-07;
48.929588399052314,2.0378392;"{""coordinates"": [2.0378392, 48.929588399052314], ""type"": ""Point""}";n3241154587;NON;4;Collégiale;public;NON;NON;arceaux;78498;Poissy;2021-05;
48.378318899048715,2.799448799999999;"{""coordinates"": [2.7994488, 48.378318899048715], ""type"": ""Point""}";n5458733496;OUI;40;Véligo;public;OUI;NON;inconnu;77316;Moret-sur-Loing;2018-03;
48.859439599051825,2.465131499999999;"{""coordinates"": [2.4651315, 48.859439599051825], ""type"": ""Point""}";n7648680034;NON;4;;public;NON;NON;arceaux;93048;Montreuil;2020-06;
48.849445899051766,2.365758599999999;"{""coordinates"": [2.3657586, 48.849445899051766], ""type"": ""Point""}";n7631605644;NON;6;;public;NON;NON;inconnu;75104;4e Arrondissement;2020-06;
48.73679399905101,2.2622384999999996;"{""coordinates"": [2.2622385, 48.73679399905101], ""type"": ""Point""}";n5287405670;NON;4;;public;NON;NON;arceaux;91377;Massy;2017-12;
48.823312999051595,2.4208382999999998;"{""coordinates"": [2.4208383, 48.823312999051595], ""type"": ""Point""}";n9246430968;NON;6;;public;NON;NON;arceaux;94069;Saint-Maurice;2021-11;
48.84163189905172,2.2368425999999997;"{""coordinates"": [2.2368426, 48.84163189905172], ""type"": ""Point""}";n1316079344;NON;0;;public;NON;NON;inconnu;92012;Boulogne-Billancourt;2011-06;
48.82952099905165,2.3776319999999997;"{""coordinates"": [2.377632, 48.82952099905165], ""type"": ""Point""}";n5691509175;NON;4;;public;NON;NON;arceaux;75113;13e Arrondissement;2018-06;
48.827466999051644,2.2760172000000005;"{""coordinates"": [2.2760172, 48.827466999051644], ""type"": ""Point""}";n7363327185;OUI;10;;public;NON;NON;arceaux;92040;Issy-les-Moulineaux;2020-04;
48.830246699051635,2.3474725;"{""coordinates"": [2.3474725, 48.830246699051635], ""type"": ""Point""}";n9314777182;NON;16;;public;NON;NON;arceaux;75113;13e Arrondissement;2021-12;
48.8113545990515,2.3601097999999987;"{""coordinates"": [2.3601098, 48.8113545990515], ""type"": ""Point""}";n6636714145;NON;6;;public;NON;NON;arceaux;94043;Le Kremlin-Bicêtre;2021-07;
48.8096540990515,2.1251497;"{""coordinates"": [2.1251497, 48.8096540990515], ""type"": ""Point""}";n3163359818;NON;6;;public;NON;NON;arceaux;78646;Versailles;2021-08;
48.93046559905232,2.302825799999999;"{""coordinates"": [2.3028258, 48.93046559905232], ""type"": ""Point""}";n8557603156;NON;8;;public;NON;NON;arceaux;92036;Gennevilliers;2021-03;
48.842111299051744,2.2386331;"{""coordinates"": [2.2386331, 48.842111299051744], ""type"": ""Point""}";n1288947958;NON;12;;public;NON;NON;arceaux;92012;Boulogne-Billancourt;2017-11;
48.83241069905167,2.3041539;"{""coordinates"": [2.3041539, 48.83241069905167], ""type"": ""Point""}";n7555702992;NON;2;;public;NON;NON;arceaux;75115;15e Arrondissement;2021-07;
48.8380681990517,2.3704058000000003;"{""coordinates"": [2.3704058, 48.8380681990517], ""type"": ""Point""}";n8233831135;NON;10;;public;NON;NON;arceaux;75113;13e Arrondissement;2020-12;
48.848407799051756,2.2949338000000004;"{""coordinates"": [2.2949338, 48.848407799051756], ""type"": ""Point""}";n5628185794;NON;10;;public;NON;NON;inconnu;75115;15e Arrondissement;2018-05;
48.8661324990519,2.3991510999999996;"{""coordinates"": [2.3991511, 48.8661324990519], ""type"": ""Point""}";n5630745374;NON;4;;public;NON;NON;inconnu;75120;20e Arrondissement;2018-05;
48.88839719905204,2.2493991000000007;"{""coordinates"": [2.2493991, 48.88839719905204], ""type"": ""Point""}";n5457873148;NON;10;;public;NON;NON;arceaux;92026;Courbevoie;2018-03;
48.869620299051924,2.361904600000001;"{""coordinates"": [2.3619046, 48.869620299051924], ""type"": ""Point""}";n3526252701;NON;22;;public;NON;NON;arceaux;75110;10e Arrondissement;2018-05;
48.822168099051595,2.327593299999999;"{""coordinates"": [2.3275933, 48.822168099051595], ""type"": ""Point""}";n5344429942;NON;10;;public;NON;NON;arceaux;75114;14e Arrondissement;2019-12;
48.85045449905178,2.3820287999999987;"{""coordinates"": [2.3820288, 48.85045449905178], ""type"": ""Point""}";n5686039539;NON;18;;public;NON;NON;arceaux;75111;11e Arrondissement;2019-05;
48.67622549905063,2.386148799999999;"{""coordinates"": [2.3861488, 48.67622549905063], ""type"": ""Point""}";n9186765369;OUI;4;;public;NON;NON;casier;91687;Viry-Châtillon;2021-10;
48.81000239905151,2.2945386;"{""coordinates"": [2.2945386, 48.81000239905151], ""type"": ""Point""}";n5699144457;NON;8;;public;NON;NON;arceaux;92020;Châtillon;2018-06;
48.753477999051135,2.3276903;"{""coordinates"": [2.3276903, 48.753477999051135], ""type"": ""Point""}";n3778942962;NON;10;;public;NON;NON;arceaux;94034;Fresnes;2015-10;
48.81674819905157,2.2942484999999997;"{""coordinates"": [2.2942485, 48.81674819905157], ""type"": ""Point""}";n6694151075;NON;14;;public;NON;NON;arceaux;92046;Malakoff;2021-06;
48.820801999051575,2.1206337;"{""coordinates"": [2.1206337, 48.820801999051575], ""type"": ""Point""}";n5606522095;NON;0;;public;NON;NON;inconnu;78158;Le Chesnay;2019-04;
48.83378599905168,2.315153599999999;"{""coordinates"": [2.3151536, 48.83378599905168], ""type"": ""Point""}";n8184458314;NON;10;;public;NON;NON;arceaux;75114;14e Arrondissement;2021-04;
48.86830419905191,2.3235623999999997;"{""coordinates"": [2.3235624, 48.86830419905191], ""type"": ""Point""}";n9267085538;NON;12;;public;NON;NON;arceaux;75108;8e Arrondissement;2021-11;
48.823390519480064,2.5802229404383072;"{""coordinates"": [2.580222940438307, 48.823390519480064], ""type"": ""Point""}";w109383654;OUI;8;;public;NON;NON;abri;93051;Noisy-le-Grand;2021-09;
48.88934169905204,2.3143470999999995;"{""coordinates"": [2.3143471, 48.88934169905204], ""type"": ""Point""}";n8238115770;NON;16;;public;NON;NON;arceaux;75117;17e Arrondissement;2021-03;
48.85465459905181,2.422368;"{""coordinates"": [2.422368, 48.85465459905181], ""type"": ""Point""}";n7649674373;NON;16;;public;NON;NON;arceaux;93048;Montreuil;2020-11;
48.81468399905151,2.2713831000000004;"{""coordinates"": [2.2713831, 48.81468399905151], ""type"": ""Point""}";n8859364075;NON;8;;public;NON;NON;arceaux;92040;Issy-les-Moulineaux;2021-06;
48.74965969905111,2.3443960999999995;"{""coordinates"": [2.3443961, 48.74965969905111], ""type"": ""Point""}";n6632349847;NON;6;;public;NON;NON;ratelier;94065;Rungis;2020-04;
48.85085789905175,2.2970745000000004;"{""coordinates"": [2.2970745, 48.85085789905175], ""type"": ""Point""}";n5628183216;NON;10;;public;NON;NON;arceaux;75115;15e Arrondissement;2021-06;
48.85899959905184,2.3555537;"{""coordinates"": [2.3555537, 48.85899959905184], ""type"": ""Point""}";n7485844172;NON;16;;public;NON;NON;arceaux;75104;4e Arrondissement;2020-09;
48.89060349905205,2.419195599999999;"{""coordinates"": [2.4191956, 48.89060349905205], ""type"": ""Point""}";n8198612092;NON;10;;public;NON;NON;arceaux;93055;Pantin;2020-12;
48.820045866311126,2.4641429140162594;"{""coordinates"": [2.464142914016259, 48.820045866311126], ""type"": ""Point""}";w1014039895;OUI;14;;public;NON;NON;arceaux;94042;Joinville-le-Pont;2021-12;
48.85784579905183,2.3794382;"{""coordinates"": [2.3794382, 48.85784579905183], ""type"": ""Point""}";n2177689712;NON;18;;public;NON;NON;arceaux;75111;11e Arrondissement;2018-05;
48.81172359905154,2.1352613000000003;"{""coordinates"": [2.1352613, 48.81172359905154], ""type"": ""Point""}";n8157983025;NON;4;;public;NON;NON;arceaux;78646;Versailles;2020-11;
48.793762699051406,2.387820900000001;"{""coordinates"": [2.3878209, 48.793762699051406], ""type"": ""Point""}";n2435289825;NON;0;;public;NON;NON;inconnu;94081;Vitry-sur-Seine;2020-04;
48.829650199051635,2.3647787999999994;"{""coordinates"": [2.3647788, 48.829650199051635], ""type"": ""Point""}";n2301475477;NON;8;;public;NON;NON;arceaux;75113;13e Arrondissement;2018-12;
48.871345399051926,2.4553163;"{""coordinates"": [2.4553163, 48.871345399051926], ""type"": ""Point""}";n5671954708;NON;4;;public;NON;NON;arceaux;93048;Montreuil;2020-06;
48.88470529905202,2.3813519999999992;"{""coordinates"": [2.381352, 48.88470529905202], ""type"": ""Point""}";n8288538610;NON;8;;public;NON;NON;arceaux;75119;19e Arrondissement;2021-01;
48.884945699052004,2.3672894;"{""coordinates"": [2.3672894, 48.884945699052004], ""type"": ""Point""}";n5627507665;NON;6;;public;NON;NON;arceaux;75119;19e Arrondissement;2020-08;
48.861859799051864,2.364288699999999;"{""coordinates"": [2.3642887, 48.861859799051864], ""type"": ""Point""}";n9224962535;NON;20;;public;NON;NON;arceaux;75103;3e Arrondissement;2021-11;
48.86590659905188,2.4528948999999987;"{""coordinates"": [2.4528949, 48.86590659905188], ""type"": ""Point""}";n7629288897;NON;4;;public;NON;NON;arceaux;93048;Montreuil;2020-06;
48.90849229905218,2.3589210999999994;"{""coordinates"": [2.3589211, 48.90849229905218], ""type"": ""Point""}";n8783118114;NON;10;;public;NON;NON;arceaux;93066;Saint-Denis;2021-05;
48.879869899051975,2.207565499999999;"{""coordinates"": [2.2075655, 48.879869899051975], ""type"": ""Point""}";n2689331994;NON;2;;public;NON;NON;ratelier;92050;Nanterre;2014-02;
48.8694271990519,2.2871016000000006;"{""coordinates"": [2.2871016, 48.8694271990519], ""type"": ""Point""}";n5615336503;NON;2;;public;NON;NON;inconnu;75116;16e Arrondissement;2018-05;
48.85268439905179,2.3616135000000007;"{""coordinates"": [2.3616135, 48.85268439905179], ""type"": ""Point""}";n5630797854;NON;20;;public;NON;NON;inconnu;75104;4e Arrondissement;2018-05;
48.98341292390073,1.8410639450036796;"{""coordinates"": [1.84106394500368, 48.98341292390073], ""type"": ""Point""}";w937819133;NON;16;;public;NON;NON;arceaux;78029;Aubergenville;2021-06;
48.881027199052,2.2972637;"{""coordinates"": [2.2972637, 48.881027199052], ""type"": ""Point""}";n5070241553;NON;30;;public;NON;NON;arceaux;75117;17e Arrondissement;2017-08;
48.887478599052045,2.4010832999999994;"{""coordinates"": [2.4010833, 48.887478599052045], ""type"": ""Point""}";n7054098501;NON;6;;public;NON;NON;arceaux;93061;Le Pré-Saint-Gervais;2021-03;
48.74583929905108,2.1134199999999987;"{""coordinates"": [2.11342, 48.74583929905108], ""type"": ""Point""}";n4907817240;NON;6;École;clientele;NON;NON;ratelier;78620;Toussus-le-Noble;2017-06;
48.83089369905165,2.3045962999999996;"{""coordinates"": [2.3045963, 48.83089369905165], ""type"": ""Point""}";n4294770449;NON;12;;public;NON;NON;arceaux;75115;15e Arrondissement;2018-05;
48.88838829905204,2.2232637;"{""coordinates"": [2.2232637, 48.88838829905204], ""type"": ""Point""}";n9293071972;NON;10;;public;NON;NON;arceaux;92050;Nanterre;2021-11;
48.83656009905168,2.353887699999999;"{""coordinates"": [2.3538877, 48.83656009905168], ""type"": ""Point""}";n7537095809;NON;6;;public;NON;NON;arceaux;75113;13e Arrondissement;2021-05;
48.851686799051784,2.3186792999999994;"{""coordinates"": [2.3186793, 48.851686799051784], ""type"": ""Point""}";n7601938922;NON;16;;public;NON;NON;arceaux;75107;7e Arrondissement;2020-07;
48.82459169905162,2.3132311000000008;"{""coordinates"": [2.3132311, 48.82459169905162], ""type"": ""Point""}";n7489638525;NON;16;;public;NON;NON;arceaux;75114;14e Arrondissement;2021-05;
48.848479699051765,2.433374599999999;"{""coordinates"": [2.4333746, 48.848479699051765], ""type"": ""Point""}";n4682078046;NON;10;127 rue de Fontenay;public;NON;NON;arceaux;94080;Vincennes;2021-01;
48.90703119905217,2.2623208999999993;"{""coordinates"": [2.2623209, 48.90703119905217], ""type"": ""Point""}";n8136225095;NON;8;;public;NON;NON;arceaux;92009;Bois-Colombes;2021-11;
48.87313199905193,2.3395672000000003;"{""coordinates"": [2.3395672, 48.87313199905193], ""type"": ""Point""}";n5625185265;NON;8;;public;NON;NON;arceaux;75109;9e Arrondissement;2019-08;
48.87272289905194,2.3543664999999994;"{""coordinates"": [2.3543665, 48.87272289905194], ""type"": ""Point""}";n8123978673;NON;8;;public;NON;NON;arceaux;75110;10e Arrondissement;2021-05;
48.87631659905197,2.2875817;"{""coordinates"": [2.2875817, 48.87631659905197], ""type"": ""Point""}";n7098801488;NON;10;;public;NON;NON;arceaux;75117;17e Arrondissement;2021-06;
48.8703468990519,2.361026199999999;"{""coordinates"": [2.3610262, 48.8703468990519], ""type"": ""Point""}";n9309212517;NON;0;;public;NON;NON;arceaux;75110;10e Arrondissement;2021-12;
48.82517089905162,2.374779999999999;"{""coordinates"": [2.37478, 48.82517089905162], ""type"": ""Point""}";n2291048612;NON;6;;public;NON;NON;arceaux;75113;13e Arrondissement;2013-05;
48.827400799051624,2.3758395000000005;"{""coordinates"": [2.3758395, 48.827400799051624], ""type"": ""Point""}";n5628678485;NON;4;;public;NON;NON;arceaux;75113;13e Arrondissement;2018-12;
48.79588619624783,2.6651169938380606;"{""coordinates"": [2.665116993838061, 48.79588619624783], ""type"": ""Point""}";w671929184;NON;0;;public;NON;NON;inconnu;77390;Roissy-en-Brie;2019-02;
48.87865909905195,2.4001212999999995;"{""coordinates"": [2.4001213, 48.87865909905195], ""type"": ""Point""}";n4250664405;NON;12;;public;NON;NON;arceaux;75119;19e Arrondissement;2018-04;
48.94367779905241,2.1508826;"{""coordinates"": [2.1508826, 48.94367779905241], ""type"": ""Point""}";n7728065256;NON;20;;public;NON;NON;arceaux;78358;Maisons-Laffitte;2021-06;
48.883983299052,2.3329255999999994;"{""coordinates"": [2.3329256, 48.883983299052], ""type"": ""Point""}";n4393393245;NON;10;;public;NON;NON;arceaux;75118;18e Arrondissement;2016-09;
48.819990699051594,2.464069399999999;"{""coordinates"": [2.4640694, 48.819990699051594], ""type"": ""Point""}";n2817887469;OUI;16;;public;NON;NON;arceaux;94042;Joinville-le-Pont;2020-11;
48.81818959905157,2.2572297000000003;"{""coordinates"": [2.2572297, 48.81818959905157], ""type"": ""Point""}";n4962415517;NON;8;Parking vélos/motos Boulevard Rodin;public;NON;NON;arceaux;92040;Issy-les-Moulineaux;2021-06;
48.86961859905191,2.6495189999999993;"{""coordinates"": [2.649519, 48.86961859905191], ""type"": ""Point""}";n8024788338;NON;0;;public;NON;NON;arceaux;77479;Vaires-sur-Marne;2020-10;
48.85698299905182,2.3244216999999994;"{""coordinates"": [2.3244217, 48.85698299905182], ""type"": ""Point""}";n7601938904;NON;8;;public;NON;NON;arceaux;75107;7e Arrondissement;2020-06;
48.71035109905084,2.212278199999999;"{""coordinates"": [2.2122782, 48.71035109905084], ""type"": ""Point""}";n3334437636;NON;10;;public;NON;NON;ratelier;91477;Palaiseau;2018-03;
48.84234409905173,2.2656091000000003;"{""coordinates"": [2.2656091, 48.84234409905173], ""type"": ""Point""}";n5615336428;NON;2;;public;NON;NON;inconnu;75116;16e Arrondissement;2018-05;
48.841216799051715,2.3560811;"{""coordinates"": [2.3560811, 48.841216799051715], ""type"": ""Point""}";n5153674205;NON;10;;public;NON;NON;arceaux;75105;5e Arrondissement;2021-12;
48.855518099051814,2.361060899999999;"{""coordinates"": [2.3610609, 48.855518099051814], ""type"": ""Point""}";n8269359937;NON;0;;public;NON;NON;autres;75104;4e Arrondissement;2020-12;
48.87301999905193,2.3423439999999998;"{""coordinates"": [2.342344, 48.87301999905193], ""type"": ""Point""}";n5679760622;NON;6;;public;NON;NON;arceaux;75109;9e Arrondissement;2018-06;
48.82591599905161,2.2659985999999996;"{""coordinates"": [2.2659986, 48.82591599905161], ""type"": ""Point""}";n8856871598;NON;12;;public;NON;NON;arceaux;92040;Issy-les-Moulineaux;2021-09;
48.582282133956596,2.2223352693075733;"{""coordinates"": [2.222335269307573, 48.582282133956596], ""type"": ""Point""}";w643860850;OUI;10;;public;NON;NON;arceaux;91207;Égly;2018-11;
48.74276779905108,2.2863658999999994;"{""coordinates"": [2.2863659, 48.74276779905108], ""type"": ""Point""}";n3992296834;OUI;16;Anne Frank;privee;NON;NON;arceaux;92002;Antony;2019-02;
48.7466769990511,2.2644493999999997;"{""coordinates"": [2.2644494, 48.7466769990511], ""type"": ""Point""}";n6093759885;NON;8;;public;NON;NON;arceaux;91645;Verrières-le-Buisson;2018-11;
48.87891039905197,2.592628899999999;"{""coordinates"": [2.5926289, 48.87891039905197], ""type"": ""Point""}";n6014703005;NON;2;;public;NON;NON;arceaux;77108;Chelles;2018-10;
48.83670529905167,2.3452607;"{""coordinates"": [2.3452607, 48.83670529905167], ""type"": ""Point""}";n2596146357;NON;8;;public;NON;NON;arceaux;75113;13e Arrondissement;2018-05;
48.87043519905191,2.2770928999999995;"{""coordinates"": [2.2770929, 48.87043519905191], ""type"": ""Point""}";n5615336213;NON;6;;public;NON;NON;inconnu;75116;16e Arrondissement;2018-05;
48.83191489905165,2.3598257;"{""coordinates"": [2.3598257, 48.83191489905165], ""type"": ""Point""}";n5314897609;NON;10;;public;NON;NON;arceaux;75113;13e Arrondissement;2021-06;
48.83971249905171,2.3057647999999995;"{""coordinates"": [2.3057648, 48.83971249905171], ""type"": ""Point""}";n8855359961;NON;4;;public;NON;NON;arceaux;75115;15e Arrondissement;2021-07;
48.40381779904887,2.7001459000000003;"{""coordinates"": [2.7001459, 48.40381779904887], ""type"": ""Point""}";n5909815385;NON;0;;public;NON;NON;inconnu;77186;Fontainebleau;2020-11;
48.8213399753225,2.214548219927995;"{""coordinates"": [2.214548219927995, 48.8213399753225], ""type"": ""Point""}";w327334581;OUI;12;;public;NON;NON;arceaux;92072;Sèvres;2019-02;
48.882904399051995,2.3591710000000004;"{""coordinates"": [2.359171, 48.882904399051995], ""type"": ""Point""}";n559672021;NON;18;;public;NON;NON;arceaux;75110;10e Arrondissement;2020-11;
48.892480099052065,2.1314283;"{""coordinates"": [2.1314283, 48.892480099052065], ""type"": ""Point""}";n7274988226;NON;6;;public;NON;NON;autres;78650;Le Vésinet;2020-03;
48.89868759905212,2.375777400000001;"{""coordinates"": [2.3757774, 48.89868759905212], ""type"": ""Point""}";n5309171220;NON;8;;public;NON;NON;arceaux;75119;19e Arrondissement;2017-12;
48.85677179905183,2.324453399999999;"{""coordinates"": [2.3244534, 48.85677179905183], ""type"": ""Point""}";n8143294867;NON;10;;public;NON;NON;arceaux;75107;7e Arrondissement;2021-06;
48.89889929905211,2.375248699999999;"{""coordinates"": [2.3752487, 48.89889929905211], ""type"": ""Point""}";n5627507629;NON;8;;public;NON;NON;inconnu;75119;19e Arrondissement;2018-05;
48.88537749905201,2.3363042000000003;"{""coordinates"": [2.3363042, 48.88537749905201], ""type"": ""Point""}";n8621037384;NON;6;;public;NON;NON;arceaux;75118;18e Arrondissement;2021-04;
48.893363199052075,2.349143000000001;"{""coordinates"": [2.349143, 48.893363199052075], ""type"": ""Point""}";n1827280244;NON;10;;public;NON;NON;arceaux;75118;18e Arrondissement;2018-05;
48.8385854990517,2.2502178;"{""coordinates"": [2.2502178, 48.8385854990517], ""type"": ""Point""}";n1224158094;NON;18;;public;NON;NON;arceaux;92012;Boulogne-Billancourt;2021-02;
48.877542099051965,2.3373528999999986;"{""coordinates"": [2.3373529, 48.877542099051965], ""type"": ""Point""}";n5070241545;NON;10;;public;NON;NON;arceaux;75109;9e Arrondissement;2018-05;
48.86178469905185,2.3650357;"{""coordinates"": [2.3650357, 48.86178469905185], ""type"": ""Point""}";n8236688554;NON;0;;public;NON;NON;autres;75103;3e Arrondissement;2020-12;
48.898487099052105,2.2592284999999994;"{""coordinates"": [2.2592285, 48.898487099052105], ""type"": ""Point""}";n3516105917;NON;6;;public;NON;NON;arceaux;92026;Courbevoie;2015-05;
48.810156199051505,2.6241643;"{""coordinates"": [2.6241643, 48.810156199051505], ""type"": ""Point""}";n7981135044;NON;6;;public;NON;NON;arceaux;77169;Émerainville;2020-10;
