Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
32010;Place aux Étoiles;OUI;40;33;7;4;3;OUI;OUI;2022-03-05T14:42:48+01:00;48.91835629408464,2.3523425683379173;Saint-Denis;
42707;Place Jean-Baptiste Clément;OUI;25;17;8;2;6;OUI;OUI;2022-03-05T14:41:06+01:00;48.81240466867336,2.3617091774940495;Le Kremlin-Bicêtre;
16018;Flandrin - Henri Martin;OUI;18;18;0;0;0;OUI;OUI;2022-03-05T14:40:40+01:00;48.8643275,2.2724174;Paris;
5119;Jussieu - Guy de la Brosse;OUI;40;14;26;19;7;OUI;OUI;2022-03-05T14:42:35+01:00;48.845665,2.355653;Paris;
12034;Pirogues de Bercy - Libourne;OUI;49;0;49;44;5;OUI;OUI;2022-03-05T14:43:14+01:00;48.832308,2.38637;Paris;
35009;Jean Lolive - Parc Stalingrad;OUI;22;17;2;2;0;OUI;OUI;2022-03-05T14:42:01+01:00;48.89206174403158,2.4091735482215886;Pantin;
7009;Assemblée Nationale;OUI;63;43;18;16;2;OUI;OUI;2022-03-05T14:42:49+01:00;48.86141101465194,2.320121418520769;Paris;
8055;Courcelles - Place des Ternes;OUI;31;30;1;1;0;OUI;OUI;2022-03-05T14:42:24+01:00;48.878199928923124,2.2992860188665043;Paris;
33019;Madeleine Vionnet;OUI;34;24;10;3;7;OUI;OUI;2022-03-05T14:42:30+01:00;48.90251907406377,2.37408958375454;Aubervilliers;
23701;Parvis Robert Schuman - Roger Salengro;OUI;24;19;5;0;5;OUI;OUI;2022-03-05T14:42:08+01:00;48.812657470558754,2.1921751275658607;Chaville;
8033;Commandant Rivière;OUI;27;18;8;6;2;OUI;OUI;2022-03-05T14:41:28+01:00;48.872933,2.309796;Paris;
21502;Verdun - Place Henri IV;OUI;26;24;2;2;0;OUI;OUI;2022-03-05T14:42:55+01:00;48.870797375639214,2.2277003154158592;Suresnes;
12029;Dugommier;OUI;55;37;17;10;7;OUI;OUI;2022-03-05T14:41:35+01:00;48.8388110488154,2.38965779542923;Paris;
14001;Edgar Quinet - Gaité;OUI;27;23;4;0;4;OUI;OUI;2022-03-05T14:41:46+01:00;48.84116092896631,2.32459545135498;Paris;
20119;Square des Saint-Simoniens;OUI;25;23;1;0;1;OUI;OUI;2022-03-05T14:40:04+01:00;48.8701796,2.3967273;Paris;
31012;Place Carnot;OUI;25;23;2;0;2;OUI;OUI;2022-03-05T14:34:47+01:00;48.85593932186797,2.441531717777252;Montreuil;
20036;Ménilmontant - Pelleport;OUI;19;17;1;1;0;OUI;OUI;2022-03-05T14:40:05+01:00;48.87068263384462,2.398959602331646;Paris;
42023;Place Léon Gambetta;OUI;26;5;21;19;2;OUI;OUI;2022-03-05T14:41:12+01:00;48.81461250235386,2.4029293656349187;Ivry-sur-Seine;
92003;Chanzy - Sud-Est;OUI;25;7;13;5;8;OUI;OUI;2022-03-05T14:42:49+01:00;48.888912037698766,2.195632159709931;Nanterre;
16129;Ceinture du Lac Inferieure - Saint-Cloud;OUI;42;35;7;5;2;OUI;OUI;2022-03-05T14:41:40+01:00;48.86218070933143,2.2617871686816216;Paris;
31705;Champeaux - Gallieni;OUI;50;31;15;0;15;OUI;OUI;2022-03-05T14:43:06+01:00;48.864459134684644,2.4161778017878532;Bagnolet;
14104;Boyer-Barret - Raymond Losserand;OUI;23;22;1;1;0;OUI;OUI;2022-03-05T14:41:53+01:00;48.83329880233322,2.3173383995890617;Paris;
13014;Gare d'Austerlitz;OUI;14;1;10;7;3;OUI;OUI;2022-03-05T14:42:08+01:00;48.842524,2.364044;Paris;
20113;Piat - Parc de Belleville;OUI;21;20;0;0;0;OUI;OUI;2022-03-05T14:38:57+01:00;48.87195626635528,2.384981390278095;Paris;
27002;Parc Pierre Lagravère;OUI;30;19;10;8;2;OUI;OUI;2022-03-05T14:41:08+01:00;48.92650488131725,2.239069678491417;Colombes;
41604;Lagny - Joffre;OUI;31;31;0;0;0;OUI;OUI;2022-03-05T14:38:02+01:00;48.84930687084088,2.417949736118317;Saint-Mandé;
21109;Guichet - Jean Jaurès;OUI;28;12;15;11;4;OUI;OUI;2022-03-05T14:42:14+01:00;48.905169868129036,2.3023840785026555;Clichy;
17018;Parc Monceau;OUI;18;16;2;0;2;OUI;OUI;2022-03-05T14:42:44+01:00;48.88107791412864,2.3095492646098137;Paris;
20120;Evariste Galois;OUI;30;29;1;0;1;OUI;OUI;2022-03-05T14:41:37+01:00;48.87308753734472,2.4133380129933357;Paris;
15029;Emeriau - Place de Brazzaville;OUI;51;13;37;32;5;OUI;OUI;2022-03-05T14:40:31+01:00;48.850785261674964,2.2871585190296173;Paris;
17007;Navier - Epinettes;OUI;36;28;8;2;6;OUI;OUI;2022-03-05T14:42:55+01:00;48.89587780769155,2.3226776719093327;Paris;
31702;Pierre et Marie Curie - Julien Grimau;OUI;18;18;0;0;0;OUI;OUI;2022-03-05T14:41:17+01:00;48.870714014863225,2.424097023904324;Bagnolet;
11029_relais;Ménilmontant - Oberkampf;OUI;0;0;0;0;0;OUI;OUI;2022-03-05T14:34:13+01:00;48.8669761,2.3823523;Paris;
10005;Petites Ecuries - Faubourg Poissonnière;OUI;18;13;4;1;3;OUI;OUI;2022-03-05T14:35:55+01:00;48.87397217237368,2.348388757504776;Paris;
12126;Gravelle - Route du Bac;OUI;51;33;18;11;7;OUI;OUI;2022-03-05T14:42:02+01:00;48.824407,2.418455;Paris;
5116;Place Valhubert;OUI;37;6;31;24;7;OUI;OUI;2022-03-05T14:43:00+01:00;48.844182577315166,2.3640366643667217;Paris;
35019;Anatole France - Jean Lolive;OUI;28;20;8;3;5;OUI;OUI;2022-03-05T14:42:12+01:00;48.8949922,2.4253764;Pantin;
92004;Nanterre - Université;OUI;20;8;12;3;9;OUI;OUI;2022-03-05T14:42:37+01:00;48.901365,2.212693;Nanterre;
12024;Gare de Bercy;OUI;35;2;32;25;7;OUI;OUI;2022-03-05T14:42:03+01:00;48.839794573906,2.3826066032052;Paris;
43006;Vignerons - Minimes;OUI;29;8;20;17;3;OUI;OUI;2022-03-05T14:42:43+01:00;48.841486,2.430793;Vincennes;
15017;Place Falguière;OUI;23;23;0;0;0;OUI;OUI;2022-03-05T14:36:18+01:00;48.83629973941847,2.3104464635252953;Paris;
14018;Porte d'Orléans;OUI;48;45;3;0;3;OUI;OUI;2022-03-05T14:43:14+01:00;48.8227639,2.3249313;Paris;
5002;Sommerard - Saint-Jacques;OUI;34;2;32;26;6;OUI;OUI;2022-03-05T14:42:25+01:00;48.850310432924466,2.345015835298588;Paris;
21013;Pierre Grenier - Pont de Billancourt;OUI;21;16;5;4;1;OUI;OUI;2022-03-05T14:42:13+01:00;48.8258020742942,2.2487989068031315;Boulogne-Billancourt;
18005;Tardieu - Chappe;OUI;18;15;3;0;3;OUI;OUI;2022-03-05T14:40:48+01:00;48.88414675978186,2.3418454080820084;Paris;
23011;Bineau - Louise Michel;OUI;25;24;1;0;1;OUI;OUI;2022-03-05T14:37:06+01:00;48.88666162206972,2.2843274474143986;Levallois-Perret;
21511;Marcel Monge - Marcel Dassault;NON;46;46;0;0;0;NON;NON;2022-02-22T07:22:51+01:00;48.86096384533371,2.2246733296048142;Suresnes;
21308;Bara - Henri Farman;OUI;36;12;24;20;4;OUI;OUI;2022-03-05T14:43:01+01:00;48.833218027457846,2.2677567601203923;Issy-les-Moulineaux;
18020;Francoeur - Marcadet;OUI;20;20;0;0;0;OUI;OUI;2022-03-05T14:41:25+01:00;48.89104123261663,2.340014585442034;Paris;
11114;Ledru-Rollin - Charonne;OUI;32;10;21;18;3;OUI;OUI;2022-03-05T14:42:56+01:00;48.85345855607243,2.3772463581947094;Paris;
20136;Henri Chevreau - Couronnes;OUI;27;25;0;0;0;OUI;OUI;2022-03-05T14:37:13+01:00;48.87033205312931,2.388777695596218;Paris;
17017;Gare de Pont-Cardinet;OUI;34;31;3;1;2;OUI;OUI;2022-03-05T14:42:04+01:00;48.88713901475306,2.314494143994255;Paris;
5026;Pascal - Claude Bernard;OUI;49;23;23;16;7;OUI;OUI;2022-03-05T14:42:05+01:00;48.839061952159746,2.3499782010912895;Paris;
13026;Place Jean Delay;OUI;35;33;2;0;2;OUI;OUI;2022-03-05T14:38:38+01:00;48.823316,2.354336;Paris;
13104;Gare d'Austerlitz - Quai Saint-Bernard;OUI;27;27;0;0;0;NON;NON;2022-01-18T22:07:57+01:00;48.84369030864,2.3657163977623;Paris;
23002;Pont de Levallois-bécon;OUI;50;42;7;6;1;OUI;OUI;2022-03-05T14:42:42+01:00;48.8984179,2.2791311;Levallois-Perret;
15028;Grenelle - Dr Finlay;OUI;71;28;43;42;1;OUI;OUI;2022-03-05T14:43:12+01:00;48.851315406715976,2.2919502854347233;Paris;
11101;Charles Delescluze;OUI;49;1;46;39;7;OUI;OUI;2022-03-05T14:41:41+01:00;48.85242200848887,2.380632497370243;Paris;
8102;Lamennais - Washington;OUI;26;22;4;1;3;OUI;OUI;2022-03-05T14:42:30+01:00;48.87352990026496,2.303444892168045;Paris;
14130;Jonquoy - Didot;OUI;30;30;0;0;0;OUI;OUI;2022-03-05T14:41:48+01:00;48.82890454823947,2.31648076325655;Paris;
8012;Batignolles - Place de Clichy;OUI;47;46;0;0;0;OUI;OUI;2022-03-05T14:42:12+01:00;48.88347453575669,2.326493114233017;Paris;
41207;Place du Général de Gaulle;OUI;28;24;4;1;3;OUI;OUI;2022-03-05T14:35:09+01:00;48.8525288,2.4877332;Fontenay-sous-Bois;
21111;Professeur René Leriche - Général Leclerc;OUI;50;32;18;18;0;OUI;OUI;2022-03-05T14:42:33+01:00;48.90782845483013,2.307887971401215;Clichy;
34002;Capitaine Glarner - Gabriel Péri;OUI;27;9;16;9;7;OUI;OUI;2022-03-05T14:42:45+01:00;48.902449900418745,2.3304807533425724;Saint-Ouen-sur-Seine;
7006;Quai Voltaire;OUI;32;2;29;29;0;OUI;OUI;2022-03-05T14:43:14+01:00;48.85894298617901,2.331418204714572;Paris;
12011;Charenton - Place du Col Bourgoin;OUI;35;8;27;22;5;OUI;OUI;2022-03-05T14:42:08+01:00;48.84486731955409,2.382578935054453;Paris;
2010;Uzès - Montmartre;OUI;29;28;1;0;1;OUI;OUI;2022-03-05T14:39:51+01:00;48.870790980240706,2.3431010171771054;Paris;
5026_Relais;Pascal - Claude Bernard;OUI;0;0;0;0;0;OUI;OUI;2022-03-05T14:43:01+01:00;48.838669597915114,2.349754571914673;Paris;
20040;Parc de Belleville - Julien Lacroix;OUI;26;26;0;0;0;OUI;OUI;2022-03-05T14:38:59+01:00;48.8703459,2.3842214;Paris;
6018;Michelet - Assas;OUI;18;15;3;1;2;OUI;OUI;2022-03-05T14:41:03+01:00;48.84274150283194,2.335021197795868;Paris;
42503;Vladimir Ilitch Lénine - Andrée Chedid;OUI;31;24;7;2;5;OUI;OUI;2022-03-05T14:39:42+01:00;48.813199499999044,2.3321458697319035;Arcueil;
19037;Belleville - Porte des Lilas;OUI;32;28;3;0;3;OUI;OUI;2022-03-05T14:40:58+01:00;48.87660391892763,2.404769691129476;Paris;
8101;Londres - Amsterdam;OUI;23;19;4;1;3;OUI;OUI;2022-03-05T14:42:45+01:00;48.878034461503965,2.326483540969424;Paris;
20109;Haxo - Surmelin;OUI;21;21;0;0;0;OUI;OUI;2022-03-05T14:42:49+01:00;48.8694370761222,2.40539657537972;Paris;
21105;Morice - Général Leclerc;OUI;25;18;6;5;1;OUI;OUI;2022-03-05T14:42:07+01:00;48.90245471981591,2.3128929734230046;Clichy;
6107;Place Alphonse Deville;OUI;23;20;3;1;2;OUI;OUI;2022-03-05T14:40:44+01:00;48.85018826266191,2.3275961726903915;Paris;
14139;Pierre Larousse - Raymond Losserand;OUI;30;28;1;1;0;OUI;OUI;2022-03-05T14:38:08+01:00;48.83059564231877,2.3119183257222176;Paris;
15038;Place Adolphe Cherioux - Vaugirard;OUI;63;37;26;16;10;OUI;OUI;2022-03-05T14:43:04+01:00;48.83959442800459,2.3010657727718353;Paris;
13102;Pitié-Salpêtrière;OUI;51;28;20;18;2;OUI;OUI;2022-03-05T14:39:47+01:00;48.83748810318667,2.365213818848133;Paris;
32014;Place du Cornillon - Stade de France;OUI;35;16;19;8;11;OUI;OUI;2022-03-05T14:39:19+01:00;48.92540695835961,2.3644426837563515;Saint-Denis;
15055;Vasco de Gama;OUI;54;0;52;42;10;OUI;OUI;2022-03-05T14:43:13+01:00;48.83671783466264,2.283664085650799;Paris;
18032;Porte de Clignancourt.;OUI;56;42;13;2;11;OUI;OUI;2022-03-05T14:40:33+01:00;48.897488,2.343996;Paris;
10015;Lucien Sampaix - Récollets;OUI;46;29;17;7;10;OUI;OUI;2022-03-05T14:40:45+01:00;48.874330377560476,2.3621229082345963;Paris;
17124;Porte de Saint-Ouen - Henri Huchard;OUI;26;7;18;2;16;OUI;OUI;2022-03-05T14:39:30+01:00;48.898708366365064,2.3295360803604126;Paris;
16006;Lauriston - Copernic;OUI;19;19;0;0;0;OUI;OUI;2022-03-05T14:36:45+01:00;48.86926,2.289918;Paris;
44012;Génie - Mozart;OUI;19;18;1;0;1;OUI;OUI;2022-03-05T14:33:27+01:00;48.794902381218904,2.3734183609485626;Vitry-sur-Seine;
7014;Saint-François-Xavier;OUI;42;30;11;5;6;OUI;OUI;2022-03-05T14:39:52+01:00;48.851544847689894,2.3146149516105656;Paris;
17027;Place du Maréchal Juin - Péreire;OUI;46;46;0;0;0;OUI;OUI;2022-03-05T14:38:23+01:00;48.885263,2.298286;Paris;
10023;Gare de l'Est - Verdun;OUI;14;4;10;2;8;OUI;OUI;2022-03-05T14:42:52+01:00;48.87615605427147,2.360914908320552;Paris;
51003;Hôtel de Ville d'Argenteuil;OUI;30;8;22;10;12;OUI;OUI;2022-03-05T14:43:08+01:00;48.946504,2.2496396;Argenteuil;
21019;Edouard Vaillant - Paul-Adolphe Souriau;OUI;28;22;5;4;1;OUI;OUI;2022-03-05T14:36:42+01:00;48.83484585882868,2.2479459643363957;Boulogne-Billancourt;
22101;Gare Routière de Saint Cloud;OUI;31;26;4;2;2;OUI;OUI;2022-03-05T14:42:49+01:00;48.84288183896324,2.222245037555695;Saint-Cloud;
12032;Porte Dorée;OUI;36;28;7;5;2;OUI;OUI;2022-03-05T14:43:07+01:00;48.8354337,2.4077132;Paris;
13016;Primo Levi - Frigos;OUI;34;20;14;11;3;OUI;OUI;2022-03-05T14:39:23+01:00;48.83094844846017,2.37965351592796;Paris;
6103;Mézières - Rennes;OUI;55;26;28;24;4;OUI;OUI;2022-03-05T14:42:00+01:00;48.85023459321703,2.3303819820284843;Paris;
11020;Belfort - Voltaire;OUI;39;26;11;10;1;OUI;OUI;2022-03-05T14:42:59+01:00;48.8563358,2.3829901;Paris;
19109;Tanger - Place du Maroc;OUI;19;17;2;1;1;OUI;OUI;2022-03-05T14:42:25+01:00;48.8862524447104,2.3689296841621403;Paris;
12001;Bastille - Biscornet;OUI;62;14;48;40;8;OUI;OUI;2022-03-05T14:41:33+01:00;48.851355779579,2.369220033288;Paris;
31019;Vincennes - Douy-Delcupe;OUI;38;35;3;0;3;OUI;OUI;2022-03-05T14:43:13+01:00;48.85493692155721,2.436049282550812;Montreuil;
13043;Dunois - Clisson;OUI;51;49;1;1;0;OUI;OUI;2022-03-05T14:41:53+01:00;48.832294,2.3674523;Paris;
10165;Gare de l'Est - Place du 11 Novembre 1918;OUI;40;16;18;4;14;OUI;OUI;2022-03-05T14:41:55+01:00;48.876327,2.3585464;Paris;
14122;Colonel Monteil - Brune;OUI;19;16;3;2;1;OUI;OUI;2022-03-05T14:40:22+01:00;48.8265029331101,2.30927479982717;Paris;
31016;Lucie Aubrac - Franklin;OUI;36;28;8;0;8;OUI;OUI;2022-03-05T14:42:38+01:00;48.86223916006812,2.4435862898826604;Montreuil;
44102;Verdun - Adrien Damalix;OUI;26;8;17;13;4;OUI;OUI;2022-03-05T14:42:37+01:00;48.8222334178559,2.4215328320860863;Saint-Maurice;
8051;Batignolles - Rome;OUI;15;12;0;0;0;OUI;OUI;2022-03-05T14:42:46+01:00;48.881823370566806,2.3202589899301524;Paris;
9115;Milton - Manuel;OUI;22;22;0;0;0;OUI;OUI;2022-03-05T14:43:06+01:00;48.878249,2.341181;Paris;
21032;Sèvres-Gallieni;OUI;27;10;15;9;6;OUI;OUI;2022-03-05T14:42:42+01:00;48.83780940895712,2.2281519323587418;Boulogne-Billancourt;
16123;Mahatma Gandhi;OUI;26;6;20;6;14;OUI;OUI;2022-03-05T14:41:25+01:00;48.876356,2.264205;Paris;
19039;Edouard Pailleron - Simon Bolivar;OUI;24;21;3;1;2;OUI;OUI;2022-03-05T14:42:17+01:00;48.87979886049996,2.374839261174202;Paris;
18113;Lepic - Armée d'Orient;OUI;24;22;0;0;0;OUI;OUI;2022-03-05T14:34:53+01:00;48.88753640381415,2.334307730197907;Paris;
16032;Eglise d'Auteuil;OUI;21;21;0;0;0;OUI;OUI;2022-03-05T14:41:17+01:00;48.84749841771691,2.26848387135299;Paris;
21003;Jean Jaurès - Jean Baptiste Clément;OUI;24;16;8;8;0;OUI;OUI;2022-03-05T14:42:51+01:00;48.84576261454011,2.2369650006294255;Boulogne-Billancourt;
22001;Château - Bineau;OUI;23;20;3;2;1;OUI;OUI;2022-03-05T14:41:40+01:00;48.890404028589806,2.270106375217438;Neuilly-sur-Seine;
17122;Bridaine - Lamandé;OUI;29;29;0;0;0;OUI;OUI;2022-03-05T14:43:10+01:00;48.8862074,2.3206239;Paris;
18025;Mairie du 18ème;OUI;40;26;13;0;13;OUI;OUI;2022-03-05T14:43:10+01:00;48.892939296937605,2.3445510864257812;Paris;
9023;Laffitte - Italiens;OUI;33;26;6;3;3;OUI;OUI;2022-03-05T14:36:41+01:00;48.871815737396304,2.337201547845077;Paris;
20027;Porte de Ménilmontant;OUI;15;15;0;0;0;OUI;OUI;2022-03-05T14:40:56+01:00;48.8691543609174,2.40932246879487;Paris;
20021;Indre - Prairies;OUI;38;36;2;0;2;OUI;OUI;2022-03-05T14:35:11+01:00;48.86254398506782,2.403290458023548;Paris;
15108;Lourmel - Marie Skobtsov;OUI;22;7;14;12;2;OUI;OUI;2022-03-05T14:39:35+01:00;48.844974,2.287283;Paris;
26001;Gare d'Asnières sur Seine;OUI;24;11;11;8;3;OUI;OUI;2022-03-05T14:42:33+01:00;48.90636459217474,2.2835066914558415;Asnières-sur-Seine;
19040;Belleville - Télégraphe;OUI;41;41;0;0;0;OUI;OUI;2022-03-05T14:34:03+01:00;48.8756045,2.3995549;Paris;
17047;Courcelles - Pierre Demours;OUI;26;21;5;2;3;OUI;OUI;2022-03-05T14:42:37+01:00;48.883769733273496,2.29858466343129;Paris;
6016;Danton - Serpente;OUI;22;1;21;14;7;OUI;OUI;2022-03-05T14:37:31+01:00;48.85229736258167,2.3414132371544834;Paris;
19009;Cité des Sciences et de l'Industrie;OUI;30;9;19;6;13;OUI;OUI;2022-03-05T14:42:28+01:00;48.89659571178903,2.384599149227142;Paris;
11040;Temple - Jean-Pierre Timbaud;OUI;36;2;32;28;4;OUI;OUI;2022-03-05T14:41:59+01:00;48.864465972010244,2.3660597205162053;Paris;
17046;Mac-Mahon - Brey;OUI;25;17;7;0;7;OUI;OUI;2022-03-05T14:42:25+01:00;48.877532084130166,2.294512536052928;Paris;
41204;République - Danton;OUI;20;20;0;0;0;OUI;OUI;2022-03-05T14:39:18+01:00;48.85249172181667,2.462034523487091;Fontenay-sous-Bois;
18109;Pajol - Riquet;OUI;47;45;1;0;1;OUI;OUI;2022-03-05T14:42:48+01:00;48.88960028134536,2.3628534749150276;Paris;
32017;Basilique;OUI;22;9;12;6;6;OUI;OUI;2022-03-05T14:42:30+01:00;48.93626891059109,2.3588666820200914;Saint-Denis;
18029;Emile Blemont - Poteau;OUI;39;36;3;0;3;OUI;OUI;2022-03-05T14:40:04+01:00;48.8943782,2.3415122;Paris;
17121;Square des Epinettes;OUI;20;19;0;0;0;OUI;OUI;2022-03-05T14:42:05+01:00;48.89383909781389,2.325953990221024;Paris;
9031;Provence - Chaussée d'Antin;OUI;25;9;15;8;7;OUI;OUI;2022-03-05T14:40:36+01:00;48.87428447542072,2.332976511564311;Paris;
47006;Les Planètes;OUI;16;3;13;3;10;OUI;OUI;2022-03-05T14:41:32+01:00;48.8099849920804,2.4580853059887886;Maisons-Alfort;
20023;Pelleport - Belgrand;OUI;15;14;0;0;0;OUI;OUI;2022-03-05T14:36:25+01:00;48.86500081847653,2.403980836377493;Paris;
10020;Chabrol - d'Hauteville;OUI;11;10;1;1;0;OUI;OUI;2022-03-05T14:39:54+01:00;48.87701838803332,2.3513179644942284;Paris;
15049;Porte de Versailles;OUI;0;0;0;0;0;NON;NON;2022-01-05T09:23:10+01:00;48.83215381734912,2.2871491312980647;Paris;
16004;Université Paris Dauphine;OUI;0;0;0;0;0;NON;NON;2021-02-11T10:14:41+01:00;48.870707839985386,2.2748656198382378;Paris;
15035;Place Etienne Pernet;OUI;43;4;39;20;19;OUI;OUI;2022-03-05T14:43:04+01:00;48.84243457133779,2.2921819612383847;Paris;
19038;Lassus - Delouvain;OUI;20;20;0;0;0;OUI;OUI;2022-03-05T14:41:57+01:00;48.87550448459959,2.3890327325518528;Paris;
18049;Porte d'Aubervilliers;OUI;55;32;21;7;14;OUI;OUI;2022-03-05T14:42:24+01:00;48.89859661942376,2.3689722642302513;Paris;
21703;Square du Carrefour de l'Insurrection;OUI;23;22;0;0;0;OUI;OUI;2022-03-05T14:41:45+01:00;48.820864559770676,2.291113436222077;Vanves;
35017;Toffier Decaux - Cartier Bresson;OUI;7;5;2;1;1;OUI;OUI;2022-03-05T14:34:34+01:00;48.90165072551549,2.4017545580863957;Pantin;
21706;Jean Bleuzen - Square du 11 Novembre;OUI;49;46;2;2;0;OUI;OUI;2022-03-05T14:33:26+01:00;48.8232579,2.2965213;Vanves;
9117;Bellefond - Maubeuge;OUI;31;30;1;1;0;OUI;OUI;2022-03-05T14:36:31+01:00;48.878255397644715,2.345264218747616;Paris;
20118;Orteaux - Mouraud;OUI;24;21;2;0;2;OUI;OUI;2022-03-05T14:40:36+01:00;48.85558642847872,2.408762907764669;Paris;
15031;Théâtre - Lourmel;OUI;53;11;42;38;4;OUI;OUI;2022-03-05T14:41:20+01:00;48.8482070397636,2.2898658737540245;Paris;
16021;François Ponsard - La Muette;OUI;23;19;4;1;3;OUI;OUI;2022-03-05T14:42:56+01:00;48.8583666,2.2744515;Paris;
35014;Charles de Gaulle - Jean Lolive;OUI;26;23;2;1;1;OUI;OUI;2022-03-05T14:39:45+01:00;48.8932644350857,2.4126765131950383;Pantin;
6030;Assas - Vaugirard;OUI;35;26;8;8;0;OUI;OUI;2022-03-05T14:42:39+01:00;48.848274111397586,2.3292413726449013;Paris;
47005;Ecole Vétérinaire;OUI;36;18;18;15;3;OUI;OUI;2022-03-05T14:40:36+01:00;48.81488859822486,2.4224362157778994;Maisons-Alfort;
31703;Sadi Carnot - François Mitterrand;OUI;27;26;0;0;0;OUI;OUI;2022-03-05T14:42:11+01:00;48.87532687671517,2.4241617321968083;Bagnolet;
11041;Square Saint-Ambroise;OUI;43;22;18;13;5;OUI;OUI;2022-03-05T14:42:42+01:00;48.860934,2.375841;Paris;
35003;Gabrielle Josserand - Edouard Vaillant;OUI;25;18;5;2;3;OUI;OUI;2022-03-05T14:42:55+01:00;48.90271566255436,2.3933270573616032;Pantin;
12107;Diderot - Pierre Bourdan;OUI;21;3;18;13;5;OUI;OUI;2022-03-05T14:40:44+01:00;48.84764862079675,2.3902582749724393;Paris;
21014;Hameau Fleuri - Marché;OUI;22;11;11;7;4;OUI;OUI;2022-03-05T14:42:27+01:00;48.831448892608314,2.2412404417991643;Boulogne-Billancourt;
14112;Méchain - Faubourg Saint-Jacques;OUI;16;13;2;0;2;OUI;OUI;2022-03-05T14:41:52+01:00;48.83586772099485,2.33798034198275;Paris;
11006;Ledru-Rollin - Place du Père Chaillet;OUI;37;11;26;26;0;OUI;OUI;2022-03-05T14:42:00+01:00;48.856433706943704,2.379020587761426;Paris;
47004;Stade Auguste Delaune;OUI;21;19;2;2;0;OUI;OUI;2022-03-05T14:33:30+01:00;48.80896378683884,2.4345204234123234;Maisons-Alfort;
19127;Aubervilliers - Curial;OUI;23;22;1;0;1;OUI;OUI;2022-03-05T14:41:38+01:00;48.89088305227546,2.3688579350709915;Paris;
9026;Jean-Baptiste Pigalle - La Bruyere;OUI;17;15;1;0;1;OUI;OUI;2022-03-05T14:39:01+01:00;48.87939826447722,2.333709173337285;Paris;
16015;Bassano -  Iéna;OUI;15;14;1;1;0;OUI;OUI;2022-03-05T14:41:51+01:00;48.868144510482075,2.296149600985935;Paris;
11010;Boulets - Faubourg Saint-Antoine;OUI;43;36;6;1;5;OUI;OUI;2022-03-05T14:40:23+01:00;48.84925926211519,2.391754614194301;Paris;
15070;Balard - Montagne de la Fage;OUI;36;1;34;28;6;OUI;OUI;2022-03-05T14:42:23+01:00;48.83850740333351,2.2782871127128606;Paris;
20116;Haies - Réunion;OUI;22;19;3;0;3;OUI;OUI;2022-03-05T14:38:41+01:00;48.85386896766491,2.402426162238911;Paris;
21001;Transvaal - Charles de Gaulle;OUI;27;6;21;21;0;OUI;OUI;2022-03-05T14:42:43+01:00;48.848280403628806,2.2373420120857195;Boulogne-Billancourt;
15002;Maine - Antoine Bourdelle;OUI;17;8;9;1;8;OUI;OUI;2022-03-05T14:40:55+01:00;48.84308531746595,2.320263946784738;Paris;
18033;Belliard - Damrémont;OUI;34;30;3;1;2;OUI;OUI;2022-03-05T14:33:40+01:00;48.89669238777841,2.338023450388167;Paris;
23007;Président Wilson - Jean Jaures;OUI;27;24;1;0;1;OUI;OUI;2022-03-05T14:35:55+01:00;48.89034054052266,2.2920683026313786;Levallois-Perret;
16122;Route de la Muette - Porte de Neuilly;OUI;50;29;14;11;3;OUI;OUI;2022-03-05T14:40:15+01:00;48.8798926,2.2587671;Paris;
20016;Pyrénées - Maraîchers;OUI;19;17;2;1;1;OUI;OUI;2022-03-05T14:40:27+01:00;48.85714001395299,2.4043509364128113;Paris;
21310;Kléber - Gouverneur Général Eboué;OUI;24;4;20;10;10;OUI;OUI;2022-03-05T14:41:38+01:00;48.826885843069796,2.2723413258790965;Issy-les-Moulineaux;
10010;Place Jacques Bonsergent;OUI;33;1;31;28;3;OUI;OUI;2022-03-05T14:43:08+01:00;48.870948218595146,2.3612049221992497;Paris;
32015;Gare RER de Saint-Denis;OUI;40;14;25;13;12;OUI;OUI;2022-03-05T14:40:53+01:00;48.93554324248177,2.3471488058567047;Saint-Denis;
16027;Mozart - Jasmin;OUI;62;57;5;2;3;OUI;OUI;2022-03-05T14:41:01+01:00;48.85286124871689,2.268483570651513;Paris;
5121;Square René Viviani - Montebello;OUI;34;3;29;24;5;OUI;OUI;2022-03-05T14:42:36+01:00;48.851904891406384,2.347842156887055;Paris;
11043;Place Pasdeloup;OUI;21;0;18;8;10;OUI;OUI;2022-03-05T14:43:15+01:00;48.86265421563133,2.3670325062844237;Paris;
16043;Place de Passy;OUI;15;10;4;3;1;OUI;OUI;2022-03-05T14:39:47+01:00;48.85780291711202,2.277500546942199;Paris;
32004;Wilson - Landy;OUI;40;36;4;1;3;OUI;OUI;2022-03-05T14:33:29+01:00;48.91516726221354,2.357633225619793;Saint-Denis;
18043;Clichy - Place Blanche;OUI;20;15;2;0;2;OUI;OUI;2022-03-05T14:43:11+01:00;48.883601088297006,2.333223782479763;Paris;
