Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
1117;Pont Neuf - Rivoli;26;48.86008989261731,2.344057559967041
9017;Lallier - Trudaine;29;48.88109246617963,2.3408224806189537
16112;Chernoviz - Raynouard;37;48.8569864146289,2.282173218142987
15003;Gare Montparnasse - Vaugirard;66;48.8418071798797,2.31951002690117
31013;Centenaire - Sorins;45;48.85853523359734,2.4273508787155156
18001;Damrémont - Caulaincourt;18;48.88714509078738,2.3325880989432335
5028;Censier - Jardin des Plantes;28;48.84107178161383,2.355475388467312
20117;Saint-Fargeau - Mortier;33;48.87266656122256,2.407912909984589
21120;Docteur Calmette - Martre;30;48.89896935848292,2.308651325238316
31101;Jules Guesde - Laennec;19;48.87628983900398,2.5006942078471184
21302;Aristide Briand - Place de la Résistance;25;48.82124248401006,2.2511002421379094
22604;Hôtel de Ville de Fontenay-aux-Roses;34;48.790844603480856,2.2871455930319455
20007;Buzenval - Avron;50;48.851617204998654,2.401513597307666
22501;Théâtre de La Garenne;20;48.905768309295276,2.2353921022349748
42701;Charles Gide - Fort de Bicêtre;30;48.8071937956922,2.353984415531159
13106;Bobillot - Paulin Mery;23;48.829899841747384,2.3543356766748507
13109;Brillat-Savarin - Küss;21;48.822203,2.350422
15064;Javel - André Citroën;45;48.846276485475,2.2786368057131767
35007;Benjamin Delessert - Jean Lolive;21;48.89392043619345,2.417981922626496
23004;Paul Vaillant-Couturier - Victor Hugo;36;48.89819702263572,2.293848017974069
9027;Douai - Pierre Fontaine;25;48.88229101148092,2.33324121683836
14137;Maurice d'Ocagne - General Maudhuy;30;48.82414282524159,2.3158789426088333
12028;Vivaldi - Antoine-Julien Hénard;27;48.841923663276546,2.389728979467376
14032;Mairie du 14ème;32;48.83254578122993,2.325492314994335
41203;Stalingrad - Rigollots;20;48.84997403844251,2.45557576417923
12037;Reuilly - Daumesnil;36;48.8395385,2.3972516
18034;Leibniz - Jean Dollfus;32;48.896328348515986,2.333390423834684
10034;Louis Blanc - La Chapelle;21;48.88400896451429,2.3599335551261906
20104;Louis Lumière.;22;48.86216198070008,2.41112578185621
9009;Square Montholon;21;48.876620377545024,2.3457641154527664
20006;Pyrénées - Plaine;12;48.85026702458012,2.4062821269035344
12112;Charenton - Jardiniers;31;48.833821772922654,2.394692664106047
3011;Turbigo - Réaumur;31;48.86557404753054,2.3564198613166814
10027;Dunkerque - Alsace;20;48.879355,2.358379
22503;Joffre - Aigle;20;48.904033,2.245096
48005;Eugène Varlin - Place de la Paix;23;48.792862,2.363093
2004;Square Pierre Lazareff;17;48.867141720745806,2.348393350839615
1025;Oratoire - Rivoli;18;48.861342760889265,2.3400047421455388
12113;Cardinal Lavigerie;46;48.832934193699835,2.402636749399156
20010;Sorbier - Gasnier-Guy;34;48.86521763101122,2.39365965127945
21704;Place du Maréchal de Lattre de Tassigny;27;48.821707715257055,2.2853431485432423
19121;Belleville -  Pré Saint-Gervais;21;48.875565910073085,2.3930460959672923
24005;Edith Cavell - Volta;33;48.901616564286975,2.269354350864887
19102;Rampal - Belleville;17;48.87302160155955,2.379910983145237
21205;Arthur Auger - Jean Jaurès;26;48.813736445585235,2.3069277405738835
19001;Crimée - Ourcq;56;48.894104140316266,2.372946088467279
20011;Pyrénées - Dagorno;20;48.855425770695085,2.4051643162965775
